method,task,learner,dpc,k,num_synthetic_examples,metric,score,score_std,accuracy_mean,accuracy_std,f1_mean,f1_std,macro_f1_mean,macro_f1_std,n_dataset,seed,selection_time_sec,eval_time_sec,elapsed_sec_mean,runs,source_path
k_centers,sst2,bert-large-uncased,50,100,100,accuracy,0.8103975535168195,,0.8103975535168195,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,100,200,200,accuracy,0.8845565749235473,,0.8845565749235473,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,500,1000,1000,accuracy,0.8906727828746178,,0.8906727828746178,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,bert-large-uncased,1000,2000,2000,accuracy,0.900611620795107,,0.900611620795107,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,1,2,2,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,5,10,10,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,10,20,20,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,20,40,40,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,50,100,100,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,100,200,200,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,500,1000,1000,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,microsoft/deberta-v3-base,1000,2000,2000,accuracy,0.4908256880733945,,0.4908256880733945,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,1,2,2,accuracy,0.5416666666666666,,0.5416666666666666,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,5,10,10,accuracy,0.7438837920489297,,0.7438837920489297,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,10,20,20,accuracy,0.6624617737003057,,0.6624617737003057,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,20,40,40,accuracy,0.7824923547400612,,0.7824923547400612,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,50,100,100,accuracy,0.7909021406727829,,0.7909021406727829,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,100,200,200,accuracy,0.8528287461773699,,0.8528287461773699,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,500,1000,1000,accuracy,0.8971712538226299,,0.8971712538226299,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,1000,2000,2000,accuracy,0.9029051987767585,,0.9029051987767585,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-base,1000,2000,2000,accuracy,0.9029051987767583,,0.9029051987767583,,,,,,,,,,,,scaling_laws_coreset_report/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,1,2,2,accuracy,0.5424311926605504,,0.5424311926605504,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,5,10,10,accuracy,0.7033639143730888,,0.7033639143730888,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,10,20,20,accuracy,0.7679663608562691,,0.7679663608562691,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,20,40,40,accuracy,0.6513761467889908,,0.6513761467889908,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,50,100,100,accuracy,0.7136850152905199,,0.7136850152905199,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,100,200,200,accuracy,0.628822629969419,,0.628822629969419,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,500,1000,1000,accuracy,0.7331804281345565,,0.7331804281345565,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,roberta-large,1000,2000,2000,accuracy,0.9147553516819572,,0.9147553516819572,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,1,2,2,accuracy,0.5688073394495413,,0.5688073394495413,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,5,10,10,accuracy,0.6422018348623854,,0.6422018348623854,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,10,20,20,accuracy,0.7220948012232417,,0.7220948012232417,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,20,40,40,accuracy,0.7305045871559632,,0.7305045871559632,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,50,100,100,accuracy,0.7931957186544342,,0.7931957186544342,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,100,200,200,accuracy,0.8421253822629969,,0.8421253822629969,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,500,1000,1000,accuracy,0.8765290519877675,,0.8765290519877675,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
k_centers,sst2,xlnet-base-cased,1000,2000,2000,accuracy,0.9032874617737005,,0.9032874617737005,,,,,,,,,,,,results/scaling_laws/scaling_laws_all_methods.csv
herding,ag_news,albert-base-v2,1,4,4,accuracy,0.4934210526315789,0.04830470862500117,0.4934210526315789,0.04830470862500117,,,,,1,42,0.0,47.0,,,scaling_laws_herding_report/raw_results.csv
herding,ag_news,albert-base-v2,5,20,20,accuracy,0.8010087719298246,0.01579471160683213,0.8010087719298246,0.01579471160683213,,,,,1,42,0.0,50.0,,,scaling_laws_herding_report/raw_results.csv
herding,ag_news,albert-base-v2,10,40,40,accuracy,0.8338157894736842,0.014962248585461631,0.8338157894736842,0.014962248585461631,,,,,1,42,0.0,61.5,,,scaling_laws_herding_report/raw_results.csv
herding,ag_news,albert-base-v2,20,80,80,accuracy,0.854780701754386,0.0027939663699356023,0.854780701754386,0.0027939663699356023,,,,,1,42,0.0,76.6,,,scaling_laws_herding_report/raw_results.csv
herding,ag_news,albert-base-v2,50,200,200,accuracy,0.8667105263157895,0.005453784677911234,0.8667105263157895,0.005453784677911234,,,,,1,42,0.0,75.6,,,scaling_laws_herding_report/raw_results.csv
